title,genre,runtime,votes,rating,revenue,director,actor,description
This Is 40,Comedy,134,108156,6.2,67.52,Judd Apatow,Paul Rudd,Pete and Debbie are both about to turn 40 their kids hate each other both of their businesses are failing they're on the verge of losing their house and their relationship is threatening to fall apart.
Real Steel,Action,127,264480,7.1,85.46,Shawn Levy,Hugh Jackman,In the near future robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.
Sex and the City,Comedy,145,102547,5.5,152.64,Michael Patrick King,Sarah Jessica Parker,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.
Rambo,Action,92,187077,7.1,42.72,Sylvester Stallone,Sylvester Stallone,In Thailand John Rambo joins a group of missionaries to venture into war-torn Burma and rescue a group of Christian aid workers who were kidnapped by the ruthless local infantry unit.
Planet Terror,Action,105,174553,7.1,0.50,Robert Rodriguez,Rose McGowan,After an experimental bio-weapon is released turning thousands into zombie-like creatures it's up to a rag-tag group of survivors to stop the infected and those behind its release.
Concussion,Biography,123,61274,7.1,34.53,Peter Landesman,Will Smith,In Pittsburgh accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play.
The Fall,Adventure,117,93036,7.9,2.28,Tarsem Singh,Lee Pace,In a hospital on the outskirts of 1920s Los Angeles an injured stuntman begins to tell a fellow patient a little girl with a broken arm a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination the line between fiction and reality blurs as the tale advances.
The Ugly Truth,Comedy,96,172558,6.5,88.92,Robert Luketic,Katherine Heigl,A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help ... See full summary »
Bride Wars,Comedy,89,83976,5.5,58.72,Gary Winick,Kate Hudson,Two best friends become rivals when they schedule their respective weddings on the same day.
Sleeping with Other People,Comedy,101,27730,6.5,0.81,Leslye Headland,Jason Sudeikis,A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways while a mutual attraction sets in.
Snakes on a Plane,Action,105,118905,5.6,34.01,David R. Ellis,Samuel L. Jackson,An FBI agent takes on a plane full of deadly and venomous snakes deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.
What If,Comedy,98,55243,6.8,3.45,Michael Dowse,Daniel Radcliffe,Wallace who is burned out from a string of failed relationships forms an instant bond with Chantry who lives with her longtime boyfriend. Together they puzzle out what it means if your best friend is also the love of your life.
How to Train Your Dragon 2,Animation,102,237565,7.9,177.00,Dean DeBlois,Jay Baruchel,When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider the two friends find themselves at the center of a battle to protect the peace.
RoboCop,Action,117,190833,6.2,58.61,José Padilha,Joel Kinnaman,In 2028 Detroit when Alex Murphy - a loving husband father and good cop - is critically injured in the line of duty the multinational conglomerate OmniCorp sees their chance for a part-man part-robot police officer.
In Dubious Battle,Drama,110,1455,6.2,0.50,James Franco,Nat Wolff,An activist gets caught up in the labor movement for farm workers in California during the 1930s.
Hello,ComedyDramaRomance,95,12361,6.7,14.44,Michael Showalter,Sally Field,A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.
Ocean's Thirteen,Crime,122,269581,6.9,117.14,Steven Soderbergh,George Clooney,Danny Ocean rounds up the boys for a third heist after casino owner Willy Bank double-crosses one of the original eleven Reuben Tishkoff.
Slither,Comedy,95,64351,6.5,7.77,James Gunn,Nathan Fillion,A small town is taken over by an alien plague turning residents into zombies and all forms of mutant monsters.
Contagion,Drama,106,187004,6.6,75.64,Steven Soderbergh,Matt Damon,Healthcare professionals government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.
Il racconto dei racconti - Tale of Tales,Drama,133,17565,6.4,0.08,Matteo Garrone,Salma Hayek,From the bitter quest of the Queen of Longtrellis to two mysterious sisters who provoke the passion of a king to the King of Highhills obsessed with a giant Flea these tales are inspired by the fairytales by Giambattista Basile.
I Am the Pretty Thing That Lives in the House,Thriller,87,4204,4.7,0.50,Oz Perkins,Ruth Wilson,A young nurse takes care of elderly author who lives in a haunted house.
Bridge to Terabithia,Adventure,96,117297,7.2,82.23,Gabor Csupo,Josh Hutcherson,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.
Coherence,Mystery,89,66265,7.2,0.07,James Ward Byrkit,Emily Baldoni,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.
Notorious,Biography,122,33007,6.7,36.84,George Tillman Jr.,Jamal Woolard,The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace) who came straight out of Brooklyn to take the world of rap music by storm.
Goksung,Drama,156,17962,7.5,0.79,Hong-jin Na,Jun Kunimura,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.
The Expendables 2,Action,103,257395,6.6,85.02,Simon West,Sylvester Stallone,Mr. Church reunites the Expendables for what should be an easy paycheck but when one of their men is murdered on the job their quest for revenge puts them deep in enemy territory and up against an unexpected threat.
The Girl Next Door,Crime,91,19351,6.7,0.50,Gregory Wilson,William Atherton,Based on the Jack Ketchum novel of the same name The Girl Next Door follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt...and the boys who witness and fail to report the crime.
Perfume: The Story of a Murderer,Crime,147,199387,7.5,2.21,Tom Tykwer,Ben Whishaw,Jean-Baptiste Grenouille born with a superior olfactory sense creates the world's finest perfume. His work however takes a dark turn as he searches for the ultimate scent.
The Golden Compass,Adventure,113,155078,6.1,70.08,Chris Weitz,Nicole Kidman,In a parallel universe young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.
Centurion,Action,97,67801,6.4,0.12,Neil Marshall,Michael Fassbender,A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.
Scouts Guide to the Zombie Apocalypse,Action,93,31651,6.3,3.64,Christopher Landon,Tye Sheridan,Three scouts on the eve of their last camp-out discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.
17 Again,Comedy,102,152808,6.4,64.15,Burr Steers,Zac Efron,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
No Escape,Action,103,57921,6.8,27.29,John Erick Dowdle,Lake Bell,In their new overseas home an American family soon finds themselves caught in the middle of a coup and they frantically look for a safe escape from an environment where foreigners are being immediately executed.
Superman Returns,Action,154,246797,6.1,200.07,Bryan Singer,Brandon Routh,Superman reappears after a long absence but is challenged by an old foe who uses Kryptonian technology for world domination.
The Twilight Saga: Breaking Dawn - Part 1,Adventure,117,190244,4.9,281.28,Bill Condon,Kristen Stewart,The Quileutes close in on expecting parents Edward and Bella whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.
Precious,Drama,110,91623,7.3,47.54,Lee Daniels,Gabourey Sidibe,In New York City's Harlem circa 1987
The Sea of Trees,Drama,110,7475,5.9,0.02,Gus Van Sant,Matthew McConaughey,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.
Good Kids,Comedy,86,3843,6.1,0.50,Chris McCoy,Zoey Deutch,Four high school students look to redefine themselves after graduation.
The Master,Drama,144,112902,7.1,16.38,Paul Thomas Anderson,Philip Seymour Hoffman,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.
Footloose,Comedy,113,39380,5.9,51.78,Craig Brewer,Kenny Wormald,City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned and his rebellious spirit shakes up the populace.
If I Stay,Drama,107,92170,6.8,50.46,R.J. Cutler,Chloë Grace Moretz,Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.
The Ticket,Drama,97,924,5.4,0.50,Ido Fluk,Dan Stevens,A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.
Detour,Thriller,97,2205,6.3,0.50,Christopher Smith,Tye Sheridan,A young law student blindly enters into a pact with a man who offers to kill his stepfather
The Love Witch,Comedy,120,4669,6.2,0.22,Anna Biller,Samantha Robinson,A modern-day witch uses spells and magic to get men to fall in love with her.
Talladega Nights: The Ballad of Ricky Bobby,Action,108,137502,6.6,148.21,Adam McKay,Will Ferrell,#1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate Cal Naughton Jr. But when a French Formula One driver makes his way up the ladder Ricky Bobby's talent and devotion are put to the test.
The Human Centipede (First Sequence),Horror,92,60655,4.4,0.18,Tom Six,Dieter Laser,A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede
Super,Comedy,96,64535,6.8,0.32,James Gunn,Rainn Wilson,After his wife falls under the influence of a drug dealer an everyday guy transforms himself into Crimson Bolt a superhero with the best intentions but lacking in heroic skills.
The Siege of Jadotville,Action,108,14689,7.3,0.50,Richie Smyth,Jamie Dornan,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.
Up in the Air,Drama,109,279694,7.4,83.81,Jason Reitman,George Clooney,Ryan Bingham enjoys living out of a suitcase for his job traveling around the country firing people but finds that lifestyle threatened by the presence of a potential love interest and a new hire.
The Midnight Meat Train,Horror,98,50255,6.1,0.07,Ryûhei Kitamura,Vinnie Jones,A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters ultimately butchering them in the most gruesome ways imaginable.
